state,avg_err,hospitals
UT,0.9559313131313132,32
OR,0.9598625954198473,32
WA,0.963568115942029,46
KS,0.9661713375796178,44
CO,0.9673885245901639,51
IA,0.9716167938931298,30
MN,0.9778257142857142,46
NE,0.9786956989247312,25
WI,0.9820436734693877,65
NM,0.9838855263157895,26
