state,avg_err,hospitals
MA,1.0344279166666666,55
NJ,1.0276680147058823,61
FL,1.0228664072632945,169
IL,1.0193904276985744,114
MS,1.0140940540540542,59
AL,1.0138842105263157,77
WV,1.0115021052631579,25
NV,1.0114382978723404,22
GA,1.0114026011560693,94
KY,1.010135242290749,59
