facility_name,state,excess_readmission_ratio
SURGICAL INSTITUTE OF READING,PA,1.3097
CHRISTUS CENTRAL LOUISIANA SURGICAL HOSPITAL,LA,1.3037
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,TX,1.2893
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,WI,1.2628
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,AZ,1.2591
METHODIST MCKINNEY HOSPITAL,TX,1.2551
SIOUX FALLS SPECIALTY HOSPITAL,SD,1.2516
OROVILLE HOSPITAL,CA,1.24836
WINCHESTER HOSPITAL,MA,1.22116
ST LUCIE MEDICAL CENTER,FL,1.20138
